probe,GSM972389,GSM972390,GSM972396,GSM972401,GSM972409,GSM972412,GSM972413,GSM972422,GSM972429,GSM972433,GSM972438,GSM972440,GSM972443,GSM972444,GSM972446,GSM972453,GSM972457,GSM972459,GSM972463,GSM972467,GSM972472,GSM972473,GSM972475,GSM972476,GSM972477,GSM972479,GSM972480,GSM972487,GSM972488,GSM972489,GSM972496,GSM972502,GSM972510,GSM972512,GSM972521
242413_at,4.41232427662597,4.22566390057964,4.53735157717212,4.16802218872497,4.44552720441007,4.73639083982423,4.57339327436421,4.47067575058406,4.27493269145416,4.36733470373423,3.95105077279902,4.2236203106098396,4.85481906112945,4.66240090458983,4.0188175938749104,4.445732467884,4.55057039061264,4.24475277155548,4.55191884204809,4.65748576023184,4.07133132729265,3.88608676711301,4.29666290062495,4.4640792174956,4.59435279902071,4.37292932742286,3.62386447601463,4.2757146071019,4.03449697063787,4.25689768604635,4.38522685169221,4.12827759318319,4.83048785103607,4.507738685989,4.15465813903483
1556404_a_at,2.89385917044256,2.84930388071868,2.88604092036047,2.9369433753455,2.92629975937975,2.91398764624779,2.76022148910722,2.97369531690236,3.31325368231543,2.80592988646364,3.04493514815964,3.06337034563749,2.90134244906099,3.03960625957025,3.02006295989277,3.23890920043398,2.92394935606373,2.79451390711735,2.73710508765558,2.7454073537622,3.18882719076935,3.12746866084705,3.08242129870303,2.97225840879435,2.95282368858937,3.16808918739509,2.99995002355267,2.66743540687962,3.16954578354355,3.27697809891034,2.91430333551549,2.72286887519051,2.94723168395734,3.15182350138944,3.06394443853986
220640_at,4.11742129095084,3.7716818803778,3.97890518168416,3.61504555811722,3.63807272601863,4.3886206657859,4.24126882901383,4.1356922613207,4.27450390361509,3.75385244142609,3.53217254120329,3.22817595071579,4.21640843664802,3.21388060889551,3.75192241179746,3.87413625256728,3.65327746583106,3.84521951662521,4.15865949564008,3.6537904785707,3.33243616825472,3.91466744477402,4.17134539768121,3.53578021074899,4.1646185897604,4.07055869649923,3.59893250958435,4.10324640571924,4.12359682605587,3.64647394745694,3.77708157360985,3.78243104086988,4.18758057320949,3.49652246022767,3.54173985745471
220425_x_at,3.3324968558997,3.86637927386532,3.64921409662736,3.51030576116055,3.45877912216755,3.42294700156783,3.76111774925119,3.9499161423467,3.8264982683039,3.35368479580173,3.64574561742992,3.28531522365035,3.65148007612561,3.43124656750595,3.39175324864384,3.41481567393856,3.46309615664622,3.43191399219188,3.78045753789978,3.57684896055451,3.6475660574828,4.04530602701408,3.52252506230301,3.10798209480733,3.80750397626163,3.48741926731316,3.81975843424929,3.50589607387816,3.83105617293369,3.83234425739321,3.90604095007558,3.96620645140825,3.65267698824292,3.35506246503404,3.36268555899195
228274_at,6.56576002565167,7.00078040186975,6.59244014685819,6.51720451296668,6.80640110799909,6.37528111339576,5.70916260281356,6.4939481109347,6.6862460493777,6.02467308764224,5.03655673289653,5.62844480440409,6.30407016384482,7.07390163477606,7.31319175981083,6.62654101245479,6.11984622997623,6.49763136227165,6.96443923773896,5.64871578067072,6.14237559619465,7.49494842078611,6.48583477228508,5.57069093964853,6.90133811931927,5.95555512372176,6.92134754231747,6.93557728542474,6.28173641709585,5.84361675347619,6.79879040397831,6.54397473226318,6.48748185840426,5.49467729801339,5.96775595051545
1556054_at,4.88765866557619,2.41361430644581,4.79101848295328,3.45972890126051,3.92140492226064,5.4313579188428,4.36811643650914,2.9804828379998,3.42813779534162,3.26409059177865,3.28147919386198,4.75203915798259,2.95942833914116,2.66364127682782,2.92770864580939,4.36047263445312,4.2479738840152,5.07692947343919,5.05553729689962,3.42682897975514,2.70723757446242,3.68488070557001,4.66956600441412,4.52721104706095,4.400088220657,2.76113740634114,3.01543602076528,3.23134448177159,4.00030453805931,3.40188667420239,3.13510587163206,3.77312762789249,4.39302003294453,3.2146613995746,4.89320090525923
236154_at,3.07124792713211,3.4831076916577,2.8128983168814,4.19047510854603,3.11703379324127,3.06678480925024,4.5660368455203,2.71286684650742,2.79103299433524,3.64230994273446,3.60188991205549,3.40472297884042,3.1314774406234,3.77767499779077,3.24264724603854,3.18594982975187,2.58550010573557,2.98491136807348,2.77984099619039,4.66541114771496,3.06299936270046,2.79515039720148,2.88035787634906,3.57455245005502,2.81611862365013,3.80660283571404,3.0463042717987,2.96364304054567,3.57013219109229,3.19551201075681,2.90488032423521,3.15722148400342,3.13581372877141,3.03799929343768,3.30063128746996
237185_at,4.10963694063956,4.31108666952789,4.39051741054072,3.70611560851796,4.05839495611621,4.8109255423719,3.85677493638502,3.85347811635376,4.37361555856912,4.09477104761171,3.86759454440675,3.97858142628349,4.10610260312343,3.6830449373152,3.77430209687818,4.56904401458503,4.05585098816714,4.00669953366413,3.97289418427282,4.29464241024728,3.79794419414466,3.63336171211117,4.3748398184294,4.17161427153732,4.14006810532403,4.18075941491661,3.78088118426756,4.31724613001588,4.16600972639412,3.93124691923007,3.64413274078651,4.86117319377083,4.05509483885312,3.84664530718844,4.18007835060579
229683_s_at,3.49269876262868,3.70979882987411,3.77671049945537,3.60337938978828,3.3529326449981,4.06112332752541,3.75722968468798,3.94438552004042,3.84396190791832,3.3372679782372,3.68993048219218,3.67271704199034,3.57339188943054,3.48638982976453,3.59174258017545,4.26523149857249,3.82024423520255,3.93082489281828,3.76695246542324,3.57038504364502,3.58681020268673,3.52646465970797,3.76547227471837,3.55656075487527,3.86365620634204,3.71550413233697,3.54459785444622,3.92889177342204,3.68640227557866,3.31698967867404,3.70465951210635,3.79932465005073,3.97259114002325,3.35637510027911,3.41072542749449
1570117_at,2.86717607917618,2.86002622194108,2.59683758610069,2.51305752533967,2.82158371342793,2.61563579668428,2.54557630655182,2.75621368412849,2.76549103817348,2.60466871330584,2.63586520944249,2.82868674866841,2.70883546875766,2.5049083708488,2.63467675594208,2.79984463668086,2.84566543864214,2.67583123289236,2.4934971544702,2.52444481184982,2.67566717305863,2.89279641655512,2.83215242677588,2.6063201668109,2.75329884171895,2.77773300894431,2.87627833413285,2.64720004232581,2.74413919831885,2.75821749123605,2.65619955384872,2.90013803110664,2.54190983457841,2.73702474285392,2.73649061119241
